Date,Hour,Consumption,Datetime,is_religious_holiday,is_normal_holiday,is_special_day
03.01.2016,11:00,30204.3,03/01/2016 11:00,0,0,0
03.01.2016,12:00,30588.3,03/01/2016 12:00,0,0,0
03.01.2016,13:00,30902.63,03/01/2016 13:00,0,0,0
03.01.2016,14:00,31056.47,03/01/2016 14:00,0,0,0
03.01.2016,15:00,30979.53,03/01/2016 15:00,0,0,0
03.01.2016,16:00,32297.46,03/01/2016 16:00,0,0,0
03.01.2016,17:00,33462.96,03/01/2016 17:00,0,0,0
03.01.2016,18:00,33151.03,03/01/2016 18:00,0,0,0
03.01.2016,19:00,32450.21,03/01/2016 19:00,0,0,0
03.01.2016,20:00,32093.93,03/01/2016 20:00,0,0,0
03.01.2016,21:00,31315.16,03/01/2016 21:00,0,0,0
03.01.2016,22:00,31014.19,03/01/2016 22:00,0,0,0
03.01.2016,23:00,29462.06,03/01/2016 23:00,0,0,0
04.01.2016,00:00,27103.09,04/01/2016 00:00,0,0,0
04.01.2016,01:00,25439.84,04/01/2016 01:00,0,0,0
04.01.2016,02:00,24395.07,04/01/2016 02:00,0,0,0
04.01.2016,03:00,23961.03,04/01/2016 03:00,0,0,0
04.01.2016,04:00,23860.63,04/01/2016 04:00,0,0,0
04.01.2016,05:00,24418.47,04/01/2016 05:00,0,0,0
04.01.2016,06:00,25708.59,04/01/2016 06:00,0,0,0
04.01.2016,07:00,27455.39,04/01/2016 07:00,0,0,0
04.01.2016,08:00,32982.07,04/01/2016 08:00,0,0,0
04.01.2016,09:00,37175.84,04/01/2016 09:00,0,0,0
04.01.2016,10:00,38606.67,04/01/2016 10:00,0,0,0
04.01.2016,11:00,39659.57,04/01/2016 11:00,0,0,0
04.01.2016,12:00,38416.32,04/01/2016 12:00,0,0,0
04.01.2016,13:00,39279.26,04/01/2016 13:00,0,0,0
04.01.2016,14:00,39661.98,04/01/2016 14:00,0,0,0
04.01.2016,15:00,39211,04/01/2016 15:00,0,0,0
04.01.2016,16:00,39760.12,04/01/2016 16:00,0,0,0
04.01.2016,17:00,39633.29,04/01/2016 17:00,0,0,0
04.01.2016,18:00,37621.41,04/01/2016 18:00,0,0,0
04.01.2016,19:00,35954.18,04/01/2016 19:00,0,0,0
04.01.2016,20:00,35114.12,04/01/2016 20:00,0,0,0
04.01.2016,21:00,34066.4,04/01/2016 21:00,0,0,0
04.01.2016,22:00,33686.83,04/01/2016 22:00,0,0,0
04.01.2016,23:00,31733.54,04/01/2016 23:00,0,0,0
05.01.2016,00:00,29244.38,05/01/2016 00:00,0,0,0
05.01.2016,01:00,27637.23,05/01/2016 01:00,0,0,0
05.01.2016,02:00,26335.78,05/01/2016 02:00,0,0,0
05.01.2016,03:00,25870.23,05/01/2016 03:00,0,0,0
05.01.2016,04:00,25975.07,05/01/2016 04:00,0,0,0
05.01.2016,05:00,26318.48,05/01/2016 05:00,0,0,0
05.01.2016,06:00,27109.29,05/01/2016 06:00,0,0,0
05.01.2016,07:00,28570.22,05/01/2016 07:00,0,0,0
05.01.2016,08:00,33106,05/01/2016 08:00,0,0,0
05.01.2016,09:00,36657.12,05/01/2016 09:00,0,0,0
05.01.2016,10:00,37776.49,05/01/2016 10:00,0,0,0
05.01.2016,11:00,38664.22,05/01/2016 11:00,0,0,0
05.01.2016,12:00,37522.11,05/01/2016 12:00,0,0,0
05.01.2016,13:00,37820.69,05/01/2016 13:00,0,0,0
05.01.2016,14:00,38086.11,05/01/2016 14:00,0,0,0
05.01.2016,15:00,37834.89,05/01/2016 15:00,0,0,0
05.01.2016,16:00,38599.34,05/01/2016 16:00,0,0,0
05.01.2016,17:00,38669.63,05/01/2016 17:00,0,0,0
05.01.2016,18:00,36954.78,05/01/2016 18:00,0,0,0
05.01.2016,19:00,35306.11,05/01/2016 19:00,0,0,0
05.01.2016,20:00,34301.59,05/01/2016 20:00,0,0,0
05.01.2016,21:00,33400.82,05/01/2016 21:00,0,0,0
05.01.2016,22:00,33359.37,05/01/2016 22:00,0,0,0
05.01.2016,23:00,31629.97,05/01/2016 23:00,0,0,0
06.01.2016,00:00,29189.27,06/01/2016 00:00,0,0,0
06.01.2016,01:00,27614.02,06/01/2016 01:00,0,0,0
06.01.2016,02:00,26578.97,06/01/2016 02:00,0,0,0
06.01.2016,03:00,25719.19,06/01/2016 03:00,0,0,0
06.01.2016,04:00,25864.63,06/01/2016 04:00,0,0,0
06.01.2016,05:00,25918.59,06/01/2016 05:00,0,0,0
06.01.2016,06:00,27091.94,06/01/2016 06:00,0,0,0
06.01.2016,07:00,28533.05,06/01/2016 07:00,0,0,0
06.01.2016,08:00,33203.34,06/01/2016 08:00,0,0,0
06.01.2016,09:00,36257.22,06/01/2016 09:00,0,0,0
06.01.2016,10:00,37212.91,06/01/2016 10:00,0,0,0
06.01.2016,11:00,37844.74,06/01/2016 11:00,0,0,0
06.01.2016,12:00,36194.13,06/01/2016 12:00,0,0,0
06.01.2016,13:00,36542.73,06/01/2016 13:00,0,0,0
06.01.2016,14:00,36847.22,06/01/2016 14:00,0,0,0
06.01.2016,15:00,36433.88,06/01/2016 15:00,0,0,0
06.01.2016,16:00,37581.09,06/01/2016 16:00,0,0,0
06.01.2016,17:00,37304.52,06/01/2016 17:00,0,0,0
06.01.2016,18:00,35832,06/01/2016 18:00,0,0,0
06.01.2016,19:00,34499.94,06/01/2016 19:00,0,0,0
06.01.2016,20:00,33670,06/01/2016 20:00,0,0,0
06.01.2016,21:00,32931.12,06/01/2016 21:00,0,0,0
06.01.2016,22:00,32913.06,06/01/2016 22:00,0,0,0
06.01.2016,23:00,31450.65,06/01/2016 23:00,0,0,0
07.01.2016,00:00,28763.95,07/01/2016 00:00,0,0,0
07.01.2016,01:00,27284.84,07/01/2016 01:00,0,0,0
07.01.2016,02:00,26321.95,07/01/2016 02:00,0,0,0
07.01.2016,03:00,25748.49,07/01/2016 03:00,0,0,0
07.01.2016,04:00,25636.58,07/01/2016 04:00,0,0,0
07.01.2016,05:00,25932.52,07/01/2016 05:00,0,0,0
07.01.2016,06:00,26963.74,07/01/2016 06:00,0,0,0
07.01.2016,07:00,28444.83,07/01/2016 07:00,0,0,0
07.01.2016,08:00,32804.27,07/01/2016 08:00,0,0,0
07.01.2016,09:00,35608.3,07/01/2016 09:00,0,0,0
07.01.2016,10:00,36500.83,07/01/2016 10:00,0,0,0
07.01.2016,11:00,37350.92,07/01/2016 11:00,0,0,0
07.01.2016,12:00,35900.99,07/01/2016 12:00,0,0,0
07.01.2016,13:00,36800.39,07/01/2016 13:00,0,0,0
07.01.2016,14:00,37376.83,07/01/2016 14:00,0,0,0
07.01.2016,15:00,37100.43,07/01/2016 15:00,0,0,0
