Datetime,Data,Remainder,Seasonal168,Seasonal24,Seasonal8736,Trend
2015-12-31 00:00:00,29745.88208,955.9372117999999,587.4015162000001,-2956.115443,559.7726435,30598.88615
2015-12-31 01:00:00,27940.432080000002,794.7563892999999,597.3042504,-4564.352193,513.6256262,30599.09801
2015-12-31 02:00:00,26671.53208,574.0939696,665.7400203999999,-5731.513432,563.9016598,30599.30986
2015-12-31 03:00:00,26246.62208,767.6086486,741.425064,-6406.986643,545.0532932,30599.521719999997
2015-12-31 04:00:00,26026.542080000003,652.1953802999999,756.4926356000001,-6543.471979,561.5924701,30599.73358
2015-12-31 05:00:00,26208.842080000002,541.9111169,798.1681627,-6281.722567,550.5399398,30599.94543
2015-12-31 06:00:00,27044.99208,530.1541569,961.9039642000001,-5568.109828000001,520.8865034,30600.15729
2015-12-31 07:00:00,28258.022080000002,564.4992308,1307.636904,-4686.818134,472.3349405,30600.36914
2015-12-31 08:00:00,32476.87208,685.267636,1817.849798,-1075.195561,448.3692133,30600.581000000002
2015-12-31 09:00:00,35914.14208,1096.608168,1934.840555,1978.689153,303.2113546,30600.79285
2015-12-31 10:00:00,37451.87208,1389.088108,1809.3647239999998,3447.566513,204.8480313,30601.00471
2015-12-31 11:00:00,37923.72208,1232.207015,1681.5049399999998,4430.472781,-21.67921599,30601.21656
2015-12-31 12:00:00,36605.06208,1072.860279,1545.13392,3489.1684939999996,-103.5290278,30601.42842
2015-12-31 13:00:00,36919.22208,1098.0181,1471.25017,3940.5800659999995,-192.2665261,30601.64027
2015-12-31 14:00:00,36985.18208,840.0424321,1749.68298,4137.860032,-344.25548960000003,30601.852130000003
2015-12-31 15:00:00,36181.14208,507.18314060000006,1629.1720699999998,3795.0110520000003,-352.2881637,30602.063980000003
2015-12-31 16:00:00,36224.282080000004,-56.374382999999995,1501.214401,4613.17188,-436.00565389999997,30602.27584
2015-12-31 17:00:00,35908.29208,-507.8852373,1172.047272,5110.622131,-468.9797779,30602.487689999998
2015-12-31 18:00:00,33855.44208,-835.3357274,794.020845,3771.970957,-477.91354169999994,30602.69955
2015-12-31 19:00:00,32185.51208,-1144.8753359999998,593.4641085,2568.392406,-434.3805,30602.91141
2015-12-31 20:00:00,30293.362080000003,-1826.1888149999997,407.6315833,1735.148034,-626.3519801,30603.123260000004
2015-12-31 21:00:00,29115.53208,-2099.0743820000002,311.2376231,860.4093247000002,-560.3755982999999,30603.33512
2015-12-31 22:00:00,28761.05208,-2339.397152,273.4421905,712.6075933,-489.1475204,30603.54697
2015-12-31 23:00:00,27860.82208,-1862.8750670000002,312.9421315,-758.3902751,-434.61353330000003,30603.758830000002
2016-01-01 00:00:00,32042.05027,2558.611481,917.3848333999999,-2969.089253,931.1725226,30603.970680000002
2016-01-01 01:00:00,30756.630269999998,2924.576552,965.8477757000002,-4577.719716,839.7431175,30604.182539999998
2016-01-01 02:00:00,29297.42027,2712.378427,952.9252761,-5743.13508,770.8572508,30604.394389999998
2016-01-01 03:00:00,28229.59027,2420.90695,915.3148387,-6419.679547,708.4417768999999,30604.60625
2016-01-01 04:00:00,27767.720269999998,2219.4801199999997,896.5495445,-6552.362848,599.2353466,30604.8181
2016-01-01 05:00:00,27721.89027,1994.142646,905.1314166000001,-6290.603917,508.1901617,30605.029960000003
2016-01-01 06:00:00,27968.35027,1499.713686,1028.567282,-5571.353141,406.1806253,30605.241810000003
2016-01-01 07:00:00,27608.970269999998,484.15839960000005,1165.01467,-4678.970547999999,33.31407618,30605.45367
2016-01-01 08:00:00,28859.540269999998,-1548.327149,1395.2040880000002,-1044.542535,-548.4596621000001,30605.66552
2016-01-01 09:00:00,30967.08027,-2315.795609,1400.501475,2008.336328,-731.8393075,30605.87738
2016-01-01 10:00:00,32989.77027,-1947.480425,1292.949875,3464.548064,-426.3364827,30606.08923
2016-01-01 11:00:00,34672.850269999995,-1347.181321,1041.802798,4437.882449000001,-65.95475064,30606.301089999997
2016-01-01 12:00:00,34554.06027,-39.83391779,25.91415047,3478.1014159999995,483.3656721,30606.51295
2016-01-01 13:00:00,35132.51027,-574.2258308999999,839.4894014,3933.825023,326.6968716,30606.7248
2016-01-01 14:00:00,35313.13027,-832.8900131,1030.202356,4135.056269,373.824998,30606.936660000003
2016-01-01 15:00:00,35155.70027,-735.3215934,1078.9289019999999,3794.358343,410.5861023,30607.148510000003
2016-01-01 16:00:00,36499.780269999996,-340.2244901,1264.74937,4612.056718,355.8383015,30607.36037
2016-01-01 17:00:00,37812.83027,361.90536910000003,1284.0345960000002,5109.466346,449.8517329,30607.57222
2016-01-01 18:00:00,37202.92027,1364.871558,924.5459776,3766.592188,539.1264654,30607.78408
2016-01-01 19:00:00,36493.280269999996,2048.4560890000002,780.8548667,2562.914405,493.0589722,30607.99593
2016-01-01 20:00:00,35930.95027,2373.516455,790.6919395,1732.519387,426.0146967,30608.207789999997
2016-01-01 21:00:00,35226.09027,2597.283659,796.5062872000001,860.9839992000001,362.896677,30608.419639999996
2016-01-01 22:00:00,35007.640269999996,2464.526921,868.5015482000001,721.2497045,344.730594,30608.6315
2016-01-01 23:00:00,33833.90027,2564.119331,998.1229423000001,-753.8867635,416.7014026,30608.84335
2016-01-02 00:00:00,26417.85695,-2149.610283,285.5667311,-2981.428789,654.2740826,30609.055210000002
2016-01-02 01:00:00,24901.83695,-2111.505255,265.2445761,-4590.432563,729.2631275,30609.267060000002
2016-01-02 02:00:00,23964.83695,-1844.9533559999998,182.8473756,-5754.08165,771.5456607000001,30609.478919999998
