"","loc","coef"
"187","temp.33.0_37.0","0"
"188","temp.33.0_37.5","0"
"189","temp.33.0_38.0","0"
"190","temp.33.0_38.5","0"
"191","temp.33.0_39.0","0"
"192","temp.33.0_39.5","0"
"193","temp.33.0_40.0","0"
"194","temp.33.0_40.5","0"
"195","temp.33.0_41.0","0"
"196","temp.33.0_41.5","0"
"197","temp.33.0_42.0","0"
"198","temp.33.5_36.0","0"
"199","temp.33.5_36.5","119.502950704872"
"200","temp.33.5_37.0","0"
"201","temp.33.5_37.5","0"
"202","temp.33.5_38.0","0"
"203","temp.33.5_38.5","0"
"204","temp.33.5_39.0","0"
"205","temp.33.5_39.5","0"
"206","temp.33.5_40.0","0"
"207","temp.33.5_40.5","0"
"208","temp.33.5_41.0","0"
"209","temp.33.5_41.5","0"
"210","temp.33.5_42.0","0"
"211","temp.34.0_36.0","-143.339805285064"
"212","temp.34.0_36.5","0"
"213","temp.34.0_37.0","0"
"214","temp.34.0_37.5","0"
"215","temp.34.0_38.0","0"
"216","temp.34.0_38.5","0"
"217","temp.34.0_39.0","0"
"218","temp.34.0_39.5","0"
"219","temp.34.0_40.0","0"
"220","temp.34.0_40.5","0"
"221","temp.34.0_41.0","0"
"222","temp.34.0_41.5","0"
"223","temp.34.0_42.0","0"
"224","temp.34.5_36.0","0"
"225","temp.34.5_36.5","0"
"226","temp.34.5_37.0","0"
"227","temp.34.5_37.5","0"
"228","temp.34.5_38.0","0"
"229","temp.34.5_38.5","0"
"230","temp.34.5_39.0","0"
"231","temp.34.5_39.5","0"
"232","temp.34.5_40.0","0"
"233","temp.34.5_40.5","0"
"234","temp.34.5_41.0","0"
"235","temp.34.5_41.5","0"
"236","temp.34.5_42.0","0"
"237","temp.35.0_36.0","0"
"238","temp.35.0_36.5","0"
"239","temp.35.0_37.0","0"
"240","temp.35.0_37.5","0"
"241","temp.35.0_38.0","0"
"242","temp.35.0_38.5","0"
"243","temp.35.0_39.0","0"
"244","temp.35.0_39.5","0"
"245","temp.35.0_40.0","0"
"246","temp.35.0_40.5","0"
"247","temp.35.0_41.0","0"
"248","temp.35.0_41.5","0"
"249","temp.35.0_42.0","0"
"250","temp.35.5_36.0","-90.6687763683651"
"251","temp.35.5_36.5","0"
"252","temp.35.5_37.0","0"
"253","temp.35.5_37.5","0"
"254","temp.35.5_38.0","0"
"255","temp.35.5_38.5","0"
"256","temp.35.5_39.0","0"
"257","temp.35.5_39.5","0"
"258","temp.35.5_40.0","0"
"259","temp.35.5_40.5","0"
"260","temp.35.5_41.0","0"
"261","temp.35.5_41.5","0"
"262","temp.35.5_42.0","0"
"263","temp.36.0_36.0","0"
"264","temp.36.0_36.5","0"
"265","temp.36.0_37.0","0"
"266","temp.36.0_37.5","0"
"267","temp.36.0_38.0","0"
"268","temp.36.0_38.5","0"
"269","temp.36.0_39.0","0"
"270","temp.36.0_39.5","0"
"271","temp.36.0_40.0","0"
"272","temp.36.0_40.5","0"
"273","temp.36.0_41.0","0"
"274","temp.36.0_41.5","0"
"275","temp.36.0_42.0","0"
"276","temp.36.5_36.0","0"
"277","temp.36.5_36.5","0"
"278","temp.36.5_37.0","0"
"279","temp.36.5_37.5","0"
"280","temp.36.5_38.0","0"
"281","temp.36.5_38.5","0"
"282","temp.36.5_39.0","0"
"283","temp.36.5_39.5","0"
"284","temp.36.5_40.0","0"
"285","temp.36.5_40.5","0"
"286","temp.36.5_41.0","0"
"287","temp.36.5_41.5","0"
"288","temp.36.5_42.0","0"
"289","temp.37.0_36.0","0"
"290","temp.37.0_36.5","0"
"291","temp.37.0_37.0","0"
"292","temp.37.0_37.5","0"
"293","temp.37.0_38.0","0"
"294","temp.37.0_38.5","0"
"295","temp.37.0_39.0","0"
"296","temp.37.0_39.5","0"
"297","temp.37.0_40.0","0"
"298","temp.37.0_40.5","0"
"299","temp.37.0_41.0","0"
"300","temp.37.0_41.5","0"
"301","temp.37.0_42.0","0"
"302","temp.37.5_36.0","0"
"303","temp.37.5_36.5","0"
"304","temp.37.5_37.0","0"
"305","temp.37.5_37.5","0"
"306","temp.37.5_38.0","0"
"307","temp.37.5_38.5","0"
"308","temp.37.5_39.0","0"
"309","temp.37.5_39.5","0"
"310","temp.37.5_40.0","0"
"311","temp.37.5_40.5","0"
"312","temp.37.5_41.0","0"
"313","temp.37.5_41.5","0"
"314","temp.37.5_42.0","0"
"315","temp.38.0_36.0","0"
"316","temp.38.0_36.5","0"
"317","temp.38.0_37.0","0"
"318","temp.38.0_37.5","0"
"319","temp.38.0_38.0","0"
